user_id,event_date,country,segment,device,acquisition_channel,primary_feature_used,experiment_group,DAU,WAU,MAU,stickiness_ratio,conversion_rate,d1_retention,d7_retention,d30_retention,churn_rate,revenue_per_user,session_frequency,activation_rate,feature_adoption_rate,engagement_score,engagement_band
USR-100018,2025-08-13,USA,Premium,Mobile,Social,AI Assistant,Control,5239,14636,27566,0.1901,0.2861,0.7578,0.4959,0.3379,0.7463,41.17,6.64,0.624,0.3975,56,Medium
USR-100019,2025-04-28,USA,Free,Mobile,Organic,Checkout,Variant B,5820,11428,16899,0.3444,0.3125,0.8195,0.6636,0.5124,0.5313,54.22,3.8,0.6871,0.6419,34,Low
USR-100020,2025-02-06,India,Free,Tablet,Social,AI Assistant,Control,5211,11110,34360,0.1517,0.3011,0.8538,0.7188,0.602,0.4445,50.3,4.79,0.7068,0.6607,87,High
USR-100021,2025-08-31,USA,Enterprise,Desktop,Email,Recommendations,Control,2990,12739,44416,0.0673,0.3967,0.7456,0.5468,0.4473,0.6449,23.01,6.02,0.5921,0.6871,49,Low
USR-100022,2025-07-30,UK,Free,Mobile,Paid Search,Messaging,Variant A,4825,7712,19161,0.2518,0.2837,0.7356,0.4614,0.2961,0.7533,52.64,4.62,0.5359,0.5031,32,Low
USR-100023,2025-10-02,Germany,Free,Mobile,Referral,AI Assistant,Variant A,4675,8971,41619,0.1123,0.2955,0.7455,0.5141,0.3771,0.6526,38.81,3.26,0.6386,0.6641,48,Low
USR-100024,2025-02-20,Canada,Premium,Desktop,Referral,Messaging,Control,1414,12270,18237,0.0775,0.3142,0.8032,0.6257,0.5163,0.5846,42.26,5.64,0.6119,0.7108,36,Low
USR-100025,2025-07-25,UK,Premium,Desktop,Referral,AI Assistant,Variant A,1480,6177,36013,0.0411,0.3319,0.7404,0.5164,0.3662,0.7334,33.59,6.49,0.5482,0.5445,25,Low
USR-100026,2025-12-05,Canada,Free,Tablet,Social,Search,Variant A,6885,16858,32002,0.2151,0.2357,0.7449,0.5504,0.4161,0.6326,32.2,5.34,0.5386,0.5298,49,Low
USR-100027,2025-06-10,Canada,Free,Tablet,Organic,Messaging,Variant B,1468,4289,40535,0.0362,0.338,0.7477,0.5932,0.4509,0.5776,38.64,4.09,0.7815,0.6751,89,High
USR-100028,2025-02-05,India,Free,Tablet,Social,Search,Control,5874,8987,29401,0.1998,0.1587,0.7512,0.504,0.3969,0.667,27.19,8.02,0.5833,0.5323,76,High
USR-100029,2025-11-14,Canada,Enterprise,Tablet,Email,Messaging,Variant A,1671,10539,49800,0.0336,0.2759,0.6433,0.409,0.263,0.785,67.71,6.96,0.4885,0.5074,65,Medium
USR-100030,2025-05-16,USA,Free,Desktop,Social,AI Assistant,Variant A,4242,8386,33046,0.1284,0.3233,0.6975,0.5752,0.4836,0.541,34.68,8.38,0.6084,0.4401,83,High
USR-100031,2025-02-21,Canada,Premium,Mobile,Paid Search,Checkout,Variant A,1600,12408,31377,0.051,0.1953,0.7337,0.5443,0.4244,0.6572,31.84,5.42,0.7253,0.3646,89,High
USR-100032,2025-05-26,India,Premium,Tablet,Organic,Messaging,Control,2292,11471,36296,0.0631,0.3182,0.7406,0.5152,0.4189,0.6082,35.17,5.3,0.6618,0.5989,92,High
USR-100033,2025-05-16,India,Free,Tablet,Email,Messaging,Variant A,1945,5698,20885,0.0931,0.1651,0.8168,0.5939,0.4681,0.6065,35.88,6.2,0.6325,0.4866,59,Medium
USR-100034,2025-12-18,USA,Free,Tablet,Referral,Checkout,Variant A,6195,12520,50642,0.1223,0.2496,0.7104,0.4552,0.3729,0.7285,29.29,4.6,0.6862,0.7979,87,High
USR-100035,2025-01-23,Germany,Enterprise,Tablet,Referral,AI Assistant,Control,1029,8493,22066,0.0466,0.2781,0.7749,0.5263,0.4181,0.6196,48.46,6.24,0.6083,0.5976,58,Medium
USR-100036,2025-01-05,UK,Enterprise,Tablet,Paid Search,Recommendations,Control,1916,5148,19916,0.0962,0.3239,0.7045,0.53,0.3569,0.7489,59.74,4.45,0.5774,0.6192,94,High
USR-100037,2025-03-07,Canada,Enterprise,Mobile,Organic,Checkout,Variant A,1342,8392,37289,0.036,0.2606,0.7959,0.5437,0.4317,0.6779,42.54,4.98,0.6178,0.6693,30,Low
USR-100038,2025-10-14,Germany,Free,Mobile,Email,Recommendations,Control,4329,8861,29375,0.1474,0.2191,0.8655,0.6986,0.5857,0.5016,48.79,6.33,0.5541,0.5787,45,Low
USR-100039,2025-12-09,USA,Premium,Mobile,Referral,Messaging,Variant B,7021,13086,35571,0.1974,0.1555,0.8462,0.5842,0.4691,0.5626,43.78,4.24,0.5442,0.6166,45,Low
USR-100040,2025-04-13,Canada,Free,Tablet,Paid Search,Recommendations,Control,7689,17230,45145,0.1703,0.2722,0.7096,0.578,0.4158,0.6748,54.16,4.39,0.5569,0.784,64,Medium
USR-100041,2025-06-18,India,Premium,Tablet,Social,Checkout,Variant B,3282,6419,29711,0.1105,0.1581,0.8342,0.5692,0.4781,0.5912,37.74,4.71,0.6358,0.4559,69,Medium
USR-100042,2025-01-15,USA,Free,Tablet,Referral,Checkout,Variant A,1944,8223,24925,0.078,0.286,0.832,0.5581,0.4406,0.608,33.2,5.98,0.6156,0.7275,99,High
USR-100043,2025-06-10,India,Free,Desktop,Organic,Recommendations,Variant A,4574,16506,55022,0.0831,0.2837,0.7433,0.5396,0.3967,0.6929,68.14,3.9,0.6798,0.6075,39,Low
USR-100044,2025-01-01,USA,Enterprise,Desktop,Social,Checkout,Variant A,5259,16080,33992,0.1547,0.3695,0.6915,0.5271,0.4283,0.6381,52.46,2.12,0.457,0.6344,71,Medium
USR-100045,2025-12-06,Germany,Premium,Desktop,Email,AI Assistant,Variant A,7946,11987,36668,0.2167,0.2886,0.7982,0.6522,0.4811,0.6212,19.52,8.31,0.7044,0.5096,89,High
USR-100046,2025-03-07,India,Premium,Desktop,Social,Search,Variant B,2571,11459,41306,0.0622,0.1743,0.8212,0.546,0.3818,0.722,5.0,3.67,0.6013,0.5717,47,Low
USR-100047,2025-06-05,UK,Premium,Desktop,Referral,Messaging,Variant B,3350,8793,41966,0.0798,0.273,0.7581,0.4781,0.2984,0.7771,31.7,6.26,0.5246,0.5586,99,High
USR-100048,2025-09-19,India,Premium,Mobile,Paid Search,Checkout,Variant B,4876,9656,20213,0.2412,0.266,0.7709,0.6143,0.4671,0.6147,26.41,4.68,0.6294,0.8871,61,Medium
USR-100049,2025-04-26,Canada,Premium,Tablet,Organic,Recommendations,Control,7607,12869,27525,0.2764,0.2657,0.8331,0.5768,0.4416,0.6345,34.51,6.85,0.6616,0.7853,28,Low
USR-100050,2025-08-01,Germany,Free,Mobile,Organic,Search,Variant A,6159,17590,35332,0.1743,0.2118,0.7812,0.6394,0.5579,0.4972,13.77,7.66,0.6809,0.5594,74,Medium
USR-100051,2025-08-06,India,Free,Mobile,Referral,Messaging,Control,2792,7673,46617,0.0599,0.27,0.6097,0.3643,0.2446,0.8376,14.15,5.11,0.6407,0.5751,84,High
USR-100052,2025-08-26,India,Premium,Tablet,Referral,Messaging,Variant B,6468,17170,42964,0.1505,0.1566,0.7347,0.5134,0.4094,0.6182,22.58,6.03,0.6698,0.5364,81,High
USR-100053,2025-09-01,Germany,Enterprise,Mobile,Email,Recommendations,Variant B,4686,10932,32135,0.1458,0.3628,0.7208,0.5732,0.474,0.5501,30.58,3.85,0.6014,0.4247,60,Medium
USR-100054,2025-02-09,UK,Enterprise,Mobile,Paid Search,Messaging,Variant A,6845,13526,33893,0.202,0.2323,0.6681,0.4676,0.3186,0.7053,45.2,7.25,0.6781,0.4869,59,Medium
USR-100055,2025-04-29,Germany,Premium,Tablet,Referral,Recommendations,Variant A,4137,8640,27661,0.1496,0.2232,0.7748,0.6213,0.5043,0.5642,16.79,7.52,0.7416,0.5426,33,Low
USR-100056,2025-02-01,USA,Enterprise,Desktop,Referral,Search,Variant B,2694,11577,42101,0.064,0.2888,0.7587,0.5568,0.4236,0.6071,59.33,1.02,0.5452,0.4443,99,High
USR-100057,2025-06-30,India,Enterprise,Mobile,Referral,Messaging,Variant B,3446,11835,44295,0.0778,0.2507,0.7371,0.5656,0.4645,0.5882,61.62,6.7,0.6094,0.802,93,High
USR-100058,2025-05-20,Germany,Enterprise,Mobile,Referral,Messaging,Variant A,4570,14526,21428,0.2133,0.2639,0.6883,0.4744,0.3199,0.7433,32.57,4.06,0.7217,0.3836,74,Medium
USR-100059,2025-11-15,USA,Free,Tablet,Referral,Messaging,Variant B,5375,7816,38638,0.1391,0.1643,0.7965,0.5187,0.3781,0.6656,28.89,4.37,0.5626,0.4504,100,High
USR-100060,2025-08-25,Canada,Premium,Desktop,Email,Recommendations,Variant A,2488,5311,27360,0.0909,0.2624,0.6901,0.5044,0.3262,0.705,43.46,5.06,0.629,0.621,73,Medium
USR-100061,2025-05-23,USA,Enterprise,Tablet,Organic,Checkout,Variant A,7160,16066,37598,0.1904,0.2238,0.708,0.481,0.3081,0.7676,14.63,6.12,0.557,0.6656,35,Low
USR-100062,2025-04-25,Canada,Free,Tablet,Paid Search,Messaging,Control,6325,9449,17087,0.3702,0.2218,0.6317,0.4305,0.3263,0.7052,16.66,6.56,0.5189,0.6202,28,Low
USR-100063,2025-03-06,UK,Premium,Mobile,Social,AI Assistant,Variant B,4879,8753,28037,0.174,0.3992,0.6433,0.515,0.4013,0.6321,52.09,4.22,0.6769,0.4105,84,High
USR-100064,2025-02-28,USA,Premium,Tablet,Referral,Recommendations,Variant B,7371,12054,37438,0.1969,0.2865,0.8265,0.631,0.5098,0.5451,40.38,5.35,0.649,0.817,38,Low
USR-100065,2025-04-12,UK,Enterprise,Tablet,Organic,AI Assistant,Variant B,1622,13322,34237,0.0474,0.254,0.7468,0.4996,0.3994,0.637,43.52,4.48,0.6332,0.8913,38,Low
USR-100066,2025-01-22,India,Enterprise,Desktop,Organic,Recommendations,Control,3844,14572,47646,0.0807,0.3036,0.7204,0.5376,0.3759,0.688,28.53,1.41,0.6941,0.4535,72,Medium
USR-100067,2025-09-08,Canada,Premium,Mobile,Social,Checkout,Variant B,1864,10966,39702,0.0469,0.181,0.741,0.4771,0.3587,0.7157,41.3,6.51,0.4917,0.7516,83,High
USR-100068,2025-11-12,India,Premium,Desktop,Paid Search,Search,Variant A,7620,18437,55123,0.1382,0.2769,0.7151,0.4959,0.3626,0.7468,31.18,5.89,0.5227,0.4574,84,High
USR-100069,2025-05-23,Germany,Premium,Mobile,Referral,Checkout,Variant B,4692,10687,46142,0.1017,0.3355,0.7641,0.5038,0.3896,0.7125,34.22,3.54,0.5745,0.6366,97,High
USR-100070,2025-04-04,UK,Enterprise,Tablet,Email,AI Assistant,Variant A,4994,10469,38722,0.129,0.2978,0.6847,0.4495,0.3054,0.784,15.15,5.68,0.5253,0.5031,58,Medium
USR-100071,2025-01-06,Germany,Premium,Tablet,Paid Search,Recommendations,Variant B,5232,10362,20972,0.2495,0.2685,0.7901,0.606,0.4798,0.6349,41.92,3.29,0.8057,0.5994,55,Medium
USR-100072,2025-11-27,UK,Free,Desktop,Paid Search,Checkout,Control,6831,16872,51243,0.1333,0.2655,0.7835,0.552,0.3798,0.7109,41.5,3.26,0.5027,0.863,27,Low
USR-100073,2025-12-06,UK,Premium,Tablet,Social,Checkout,Variant B,5764,13810,49825,0.1157,0.2692,0.746,0.4779,0.3528,0.6785,38.78,7.06,0.4746,0.8094,95,High
USR-100074,2025-06-30,Canada,Free,Tablet,Paid Search,Checkout,Variant A,6757,16191,38945,0.1735,0.2521,0.7144,0.4659,0.3854,0.6679,49.93,1.25,0.5916,0.6742,64,Medium
USR-100075,2025-03-03,Germany,Premium,Tablet,Social,AI Assistant,Control,7085,17864,34997,0.2024,0.3235,0.6909,0.4985,0.396,0.6692,34.56,4.74,0.3942,0.5719,49,Low
USR-100076,2025-11-02,UK,Free,Desktop,Organic,AI Assistant,Control,3318,6965,24686,0.1344,0.2485,0.7818,0.5689,0.4257,0.5956,23.76,6.08,0.5461,0.5553,62,Medium
USR-100077,2025-03-06,Canada,Enterprise,Desktop,Organic,Search,Variant A,3247,5992,14565,0.2229,0.26,0.7495,0.5342,0.4475,0.6475,40.77,4.95,0.5641,0.498,95,High
USR-100078,2025-10-21,Canada,Free,Desktop,Referral,Search,Variant A,3329,13019,49392,0.0674,0.2584,0.7074,0.497,0.4104,0.6872,57.44,0.68,0.4437,0.3939,81,High
USR-100079,2025-02-03,USA,Free,Mobile,Social,Checkout,Variant B,4282,14338,24193,0.177,0.2011,0.7522,0.6031,0.4369,0.6777,18.29,3.88,0.5212,0.8428,98,High
USR-100080,2025-02-13,Germany,Premium,Desktop,Email,AI Assistant,Variant B,3033,6973,39247,0.0773,0.3068,0.8163,0.692,0.5898,0.4533,39.38,4.98,0.65,0.422,53,Medium
USR-100081,2025-08-08,Canada,Premium,Tablet,Organic,Messaging,Control,3501,14817,23764,0.1473,0.2425,0.7262,0.5673,0.4151,0.6905,32.95,7.17,0.5235,0.6724,37,Low
USR-100082,2025-05-03,Germany,Premium,Tablet,Social,Recommendations,Control,2423,13466,23385,0.1036,0.2897,0.7214,0.5993,0.5107,0.5301,14.62,8.2,0.5107,0.4576,45,Low
USR-100083,2025-05-30,Germany,Free,Tablet,Paid Search,Checkout,Variant B,1267,7059,30940,0.041,0.3258,0.6348,0.4719,0.3295,0.7314,8.85,8.08,0.6269,0.5655,61,Medium
USR-100084,2025-11-17,Canada,Enterprise,Mobile,Email,Messaging,Variant B,5831,11072,43933,0.1327,0.2328,0.7639,0.5049,0.3762,0.7333,33.3,7.49,0.7824,0.6808,39,Low
USR-100085,2025-02-06,Germany,Free,Desktop,Email,Recommendations,Variant A,1488,6206,31365,0.0474,0.2289,0.7149,0.4613,0.2829,0.7897,30.44,3.88,0.6257,0.4332,97,High
USR-100086,2025-05-20,India,Free,Desktop,Email,AI Assistant,Control,5099,15946,53307,0.0957,0.2804,0.6378,0.4136,0.2506,0.79,60.69,7.87,0.5297,0.6565,81,High
USR-100087,2025-05-09,USA,Enterprise,Desktop,Social,Search,Variant B,1211,4707,24709,0.049,0.2521,0.7884,0.6071,0.4752,0.5495,45.25,3.97,0.6249,0.4667,98,High
USR-100088,2025-03-31,India,Premium,Tablet,Referral,Search,Control,4854,15356,49337,0.0984,0.2294,0.6556,0.4894,0.3738,0.7181,46.04,2.22,0.7765,0.5343,60,Medium
USR-100089,2025-08-29,USA,Free,Desktop,Referral,Recommendations,Variant B,3850,12540,39383,0.0978,0.2648,0.7507,0.5963,0.5132,0.533,29.94,5.41,0.8148,0.5656,66,Medium
USR-100090,2025-05-28,UK,Premium,Desktop,Organic,Recommendations,Control,6427,14988,22392,0.287,0.3175,0.6978,0.5607,0.4732,0.6196,65.65,5.12,0.4854,0.5199,83,High
USR-100091,2025-09-21,Canada,Enterprise,Desktop,Social,Recommendations,Control,7757,9775,45051,0.1722,0.285,0.772,0.5408,0.4336,0.6454,27.82,4.78,0.604,0.6731,77,High
USR-100092,2025-11-17,Canada,Premium,Desktop,Referral,Search,Variant B,4621,7466,25806,0.1791,0.2689,0.6599,0.4002,0.247,0.8537,56.01,7.01,0.5737,0.6749,59,Medium
USR-100093,2025-01-15,India,Free,Tablet,Referral,Search,Variant A,6161,18136,38818,0.1587,0.1837,0.7365,0.4585,0.2841,0.7398,44.01,5.55,0.6317,0.3885,45,Low
USR-100094,2025-04-26,Canada,Premium,Tablet,Email,AI Assistant,Variant B,7892,11750,46991,0.1679,0.2059,0.8032,0.5353,0.3582,0.7562,53.81,5.06,0.5728,0.713,40,Low
USR-100095,2025-12-28,Germany,Enterprise,Mobile,Referral,Messaging,Control,3239,12046,48667,0.0666,0.1897,0.7701,0.6308,0.5431,0.5465,55.58,3.68,0.5951,0.514,85,High
USR-100096,2025-11-03,UK,Enterprise,Desktop,Organic,Checkout,Variant A,5163,9399,18974,0.2721,0.3323,0.7518,0.5808,0.4382,0.6704,19.11,6.2,0.6671,0.5871,60,Medium
USR-100097,2025-06-02,India,Premium,Desktop,Email,AI Assistant,Variant A,7860,19476,56565,0.139,0.3212,0.699,0.5147,0.3867,0.6961,31.76,7.67,0.7364,0.5016,44,Low
USR-100098,2025-10-06,Canada,Enterprise,Desktop,Paid Search,Recommendations,Variant B,4090,13550,39638,0.1032,0.239,0.7231,0.5464,0.4377,0.6119,10.93,3.15,0.5244,0.6824,49,Low
USR-100099,2025-01-23,Canada,Premium,Mobile,Paid Search,AI Assistant,Variant B,3606,13355,43339,0.0832,0.2517,0.6905,0.4298,0.2553,0.8114,22.28,5.85,0.6233,0.6539,74,Medium
USR-100100,2025-10-30,Germany,Free,Tablet,Paid Search,Recommendations,Variant B,3719,7363,41218,0.0902,0.2745,0.8873,0.7304,0.6327,0.4093,45.78,4.14,0.5703,0.5548,37,Low
USR-100101,2025-12-02,India,Enterprise,Desktop,Organic,Checkout,Variant A,2264,5489,41257,0.0549,0.2413,0.6696,0.4283,0.2787,0.7567,30.27,6.28,0.6262,0.3526,58,Medium
USR-100102,2025-12-12,USA,Enterprise,Mobile,Paid Search,Checkout,Variant B,5371,13597,39349,0.1365,0.3374,0.8478,0.7132,0.5455,0.5011,45.61,7.04,0.542,0.5957,87,High
USR-100103,2025-04-27,USA,Premium,Mobile,Email,Search,Variant B,7117,10597,44037,0.1616,0.1726,0.6646,0.503,0.3507,0.7189,30.75,5.58,0.6087,0.7583,37,Low
USR-100104,2025-01-24,Germany,Free,Mobile,Social,Recommendations,Variant A,3657,6576,30802,0.1187,0.3863,0.7081,0.4562,0.3414,0.7464,15.05,5.99,0.6292,0.6258,70,Medium
USR-100105,2025-10-17,India,Premium,Tablet,Paid Search,Recommendations,Control,6585,11535,27675,0.2379,0.3066,0.7653,0.5065,0.3557,0.748,52.93,7.19,0.7206,0.6773,47,Low
USR-100106,2025-10-26,UK,Enterprise,Mobile,Referral,Checkout,Variant A,2172,7976,43197,0.0503,0.2516,0.7488,0.5752,0.4208,0.6153,43.86,5.88,0.5919,0.5805,57,Medium
USR-100107,2025-12-13,India,Premium,Tablet,Referral,Checkout,Variant A,5477,10065,19905,0.2752,0.3009,0.6506,0.3736,0.2304,0.8156,47.04,8.88,0.5854,0.6129,81,High
USR-100108,2025-08-22,USA,Free,Desktop,Social,Checkout,Variant A,7924,14873,32928,0.2406,0.2725,0.8346,0.5605,0.4463,0.637,40.46,5.89,0.5951,0.5193,74,Medium
USR-100109,2025-10-22,USA,Enterprise,Tablet,Organic,AI Assistant,Variant A,3423,10260,16697,0.205,0.2419,0.7505,0.5374,0.4228,0.6593,30.18,5.84,0.7352,0.5701,75,High
USR-100110,2025-09-12,Canada,Enterprise,Desktop,Paid Search,Search,Control,7822,14511,34592,0.2261,0.2322,0.8529,0.6891,0.5094,0.5532,20.78,4.9,0.6619,0.7281,70,Medium
USR-100111,2025-11-18,India,Premium,Tablet,Paid Search,Search,Control,6294,8939,34185,0.1841,0.3161,0.8186,0.6549,0.4798,0.5553,47.1,5.03,0.7577,0.4195,81,High
USR-100112,2025-06-01,India,Premium,Tablet,Social,Checkout,Control,3676,12483,28993,0.1268,0.1837,0.6985,0.4211,0.3002,0.8092,28.05,4.06,0.6159,0.5456,50,Medium
USR-100113,2025-03-26,Germany,Free,Mobile,Paid Search,Recommendations,Control,3105,12999,37341,0.0832,0.3075,0.7194,0.5237,0.3469,0.6917,42.8,5.98,0.6556,0.6472,68,Medium
USR-100114,2025-10-13,India,Free,Desktop,Email,Checkout,Variant A,3996,7475,38333,0.1042,0.2921,0.8197,0.6787,0.5954,0.5167,55.49,6.04,0.5275,0.5725,26,Low
USR-100115,2025-10-27,USA,Enterprise,Tablet,Email,AI Assistant,Variant A,4121,12207,24307,0.1695,0.2787,0.6946,0.5058,0.4057,0.6635,39.79,4.04,0.6773,0.4821,54,Medium
USR-100116,2025-04-24,Germany,Free,Mobile,Organic,Search,Variant B,6305,9340,44766,0.1408,0.2377,0.6266,0.5047,0.4175,0.6417,72.61,4.36,0.6919,0.416,63,Medium
USR-100117,2025-06-05,Canada,Premium,Desktop,Email,AI Assistant,Variant B,5035,8937,20306,0.248,0.2786,0.7687,0.6424,0.5143,0.5162,37.95,3.23,0.7303,0.7116,55,Medium
USR-100118,2025-08-03,India,Premium,Desktop,Organic,Checkout,Variant A,5811,10342,42531,0.1366,0.249,0.7416,0.5694,0.4376,0.5912,34.23,5.05,0.5957,0.4702,37,Low
USR-100119,2025-04-22,UK,Enterprise,Tablet,Email,Search,Control,4632,13917,34390,0.1347,0.2698,0.6762,0.4459,0.2858,0.7542,57.59,6.77,0.6148,0.483,71,Medium
USR-100120,2025-07-23,Canada,Enterprise,Tablet,Social,Search,Control,3260,8369,21374,0.1525,0.2949,0.7636,0.5293,0.3691,0.6848,39.6,6.82,0.5942,0.7776,83,High
USR-100121,2025-01-26,Canada,Free,Tablet,Paid Search,AI Assistant,Variant B,7445,14909,35871,0.2075,0.2801,0.871,0.6339,0.5457,0.4803,28.88,4.38,0.5844,0.6436,41,Low
USR-100122,2025-04-21,USA,Premium,Mobile,Paid Search,AI Assistant,Variant B,7660,13477,40009,0.1915,0.2861,0.7056,0.4802,0.3504,0.7251,24.94,6.48,0.5198,0.6646,43,Low
USR-100123,2025-05-09,USA,Premium,Mobile,Social,Checkout,Control,7541,12399,24603,0.3065,0.2349,0.7527,0.6278,0.522,0.5443,43.59,6.3,0.5713,0.8161,28,Low
USR-100124,2025-01-09,Germany,Enterprise,Mobile,Organic,Recommendations,Variant B,2427,8774,17208,0.141,0.1987,0.6521,0.3741,0.2901,0.8166,16.13,8.6,0.6016,0.8471,41,Low
USR-100125,2025-08-18,Germany,Enterprise,Mobile,Social,Search,Control,7373,15304,53939,0.1367,0.1784,0.7056,0.4908,0.3196,0.7215,58.67,7.55,0.56,0.6394,100,High
USR-100126,2025-12-04,Germany,Premium,Desktop,Organic,Recommendations,Control,5271,12212,47230,0.1116,0.2847,0.7556,0.6069,0.5031,0.614,42.53,4.7,0.478,0.5724,28,Low
USR-100127,2025-12-31,Canada,Free,Mobile,Email,AI Assistant,Variant B,4633,7837,18131,0.2555,0.2522,0.8037,0.6013,0.4854,0.5939,32.93,3.3,0.5064,0.7541,66,Medium
USR-100128,2025-11-21,India,Premium,Desktop,Social,AI Assistant,Variant B,5795,16779,43090,0.1345,0.2366,0.7608,0.4856,0.3602,0.6834,8.67,5.63,0.5893,0.7651,73,Medium
USR-100129,2025-08-09,Canada,Premium,Desktop,Referral,Recommendations,Variant A,1812,5686,24777,0.0731,0.2924,0.6565,0.4234,0.3267,0.7101,33.5,8.73,0.6406,0.6445,80,High
USR-100130,2025-08-01,UK,Premium,Mobile,Referral,Search,Variant A,6976,10533,36016,0.1937,0.3115,0.7543,0.6014,0.5102,0.5368,38.68,4.03,0.5995,0.4248,79,High
USR-100131,2025-02-16,UK,Free,Tablet,Organic,AI Assistant,Control,7813,11211,22320,0.35,0.2505,0.7669,0.5657,0.4815,0.5533,50.83,5.79,0.6898,0.1456,80,High
USR-100132,2025-10-15,Germany,Enterprise,Mobile,Email,AI Assistant,Variant A,5601,13001,26011,0.2153,0.3644,0.7316,0.5893,0.5063,0.5445,24.86,6.3,0.6321,0.4824,77,High
USR-100133,2025-06-09,Germany,Free,Mobile,Email,AI Assistant,Control,3880,7577,45830,0.0847,0.3137,0.7302,0.5819,0.4326,0.6712,40.11,5.82,0.8023,0.5714,52,Medium
USR-100134,2025-07-08,India,Enterprise,Tablet,Social,Search,Variant B,1941,8505,28326,0.0685,0.2701,0.803,0.6781,0.505,0.584,22.93,6.34,0.5228,0.8247,79,High
USR-100135,2025-11-08,UK,Premium,Desktop,Organic,Messaging,Variant A,6388,12769,19666,0.3248,0.2214,0.7578,0.5325,0.3526,0.6722,37.1,5.76,0.6357,0.6433,48,Low
